INFO:root:Application Started
INFO:tornado.access:200 POST /update (::1) 15.02ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 15.79ms
INFO:tornado.access:200 POST /events (::1) 7.05ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 13.29ms
INFO:tornado.access:200 POST /events (::1) 4.02ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 15.99ms
INFO:tornado.access:200 POST /events (::1) 8.79ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 13.29ms
INFO:tornado.access:200 POST /events (::1) 7.60ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 12.16ms
INFO:tornado.access:200 POST /events (::1) 6.11ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 8.00ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 15.99ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 15.99ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 19.56ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 15.99ms
INFO:tornado.access:200 POST /events (::1) 9.23ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 15.99ms
INFO:tornado.access:200 POST /events (::1) 8.90ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 21.83ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 23.01ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 29.01ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 19.05ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 19.95ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 20.11ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 20.65ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 25.00ms
INFO:tornado.access:200 POST /events (::1) 5.06ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 17.41ms
INFO:tornado.access:200 POST /events (::1) 5.08ms
INFO:root:from web client: {"cmd":"layout_item_update","eid":"main","win":"Progress","data":{"i":"Progress","h":34,"w":51,"x":49.72608125819135,"y":0,"moved":false,"static":false}}
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 23.97ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:root:from web client: {"cmd":"layout_item_update","eid":"main","win":"Progress","data":{"i":"Progress","h":41,"w":58,"x":49.72608125819135,"y":0,"moved":false,"static":false}}
^C
